game_id,developer
0cac92a7051ee382cee2f4a632c2bec5,Bandai Namco Entertainment
0cac92a7051ee382cee2f4a632c2bec5,FromSoftware
ba1bb122ebf76767e330567259a01ff0,Supergiant Games
c03680f8f4a6f70e1ceb98bec4b3f910,Nintendo
c03680f8f4a6f70e1ceb98bec4b3f910,Nintendo EPD Production Group No. 3
1027399473d2674e3854814eca3fb0a6,tobyfox
1027399473d2674e3854814eca3fb0a6,8-4
fdb110fe2c79496233b3ca519eae02db,Team Cherry
5ba1641c25337894178deb342dd87963,Mojang Studios
a0a89cfe2e9838a1872f5c4cb6f867e2,OMOCAT
a0a89cfe2e9838a1872f5c4cb6f867e2,PLAYISM
4b4076af6469757e76c693b0f1d16a18,Nintendo
4b4076af6469757e76c693b0f1d16a18,MercurySteam
76890dd1ddc2496e42c18ea16da4970d,InnerSloth
9a893f15c0f62c52c0f236df048d0a1c,PlatinumGames
9a893f15c0f62c52c0f236df048d0a1c,Square Enix
78f8a1e812c1cde6d586a5eeba9df7e2,Atlus USA
78f8a1e812c1cde6d586a5eeba9df7e2,Atlus
b4625248879e092f87b0ea6d0b9875db,BlueTwelve Studio
b4625248879e092f87b0ea6d0b9875db,Annapurna Interactive
6dd8768cd777f28875d3f23b8237ce78,Sony Interactive Entertainment
6dd8768cd777f28875d3f23b8237ce78,SIE Santa Monica Studio
5c55fadce58a7e1c6924d340299d20fa,Valve
5c55fadce58a7e1c6924d340299d20fa,Electronic Arts
8d2871dec4110407de5b425bc23ca476,FromSoftware
8d2871dec4110407de5b425bc23ca476,Sony Computer Entertainment
dd2d044ca582633016a8d409608e8b91,Extremely OK Games
dd2d044ca582633016a8d409608e8b91,Maddy Makes Games
5e0584a88f09854e6e01a6045cb3cabb,Ryū Ga Gotoku Studios
5e0584a88f09854e6e01a6045cb3cabb,Sega
81df25446d7af06184f2fbdfa7b1a8e8,Take-Two Interactive
81df25446d7af06184f2fbdfa7b1a8e8,Rockstar Games
3b89ac990a4cb5bd3405e19089e830e6,Valve
3b89ac990a4cb5bd3405e19089e830e6,Electronic Arts
0a3c86c289d14b5670179f78d0f35675,Nintendo
ad252dce9672e94ef9f2fdc67e5a0b83,Nintendo
ad252dce9672e94ef9f2fdc67e5a0b83,Game Freak
1718e595171f56fcec7a19b7bf9f5f16,Tango Gameworks
1718e595171f56fcec7a19b7bf9f5f16,Bethesda Softworks
a4ccb0a860a7aaa889b97718d8157a4f,Konami
a4ccb0a860a7aaa889b97718d8157a4f,PlatinumGames
1f222bc6d4202677ca91fa80260391a6,Rockstar North
1f222bc6d4202677ca91fa80260391a6,Rockstar Games
0202a04d6561de7b7c56757908b04c4f,CD Projekt RED
ada6bb87ea3d5ddf3dd377ecf36b4bbe,Sony Interactive Entertainment
ada6bb87ea3d5ddf3dd377ecf36b4bbe,SIE Santa Monica Studio
